transaction_id,user_id,date,description,amount,transaction_type,category,merchant
1,1,2025-01-01,LPG cylinder booking,896.21,expense,Bills,LPG cylinder booking
2,1,2025-01-01,IRCTC train ticket,1194.82,expense,Transport,IRCTC train ticket
3,1,2025-01-03,Salary credited,31445.84,income,Income,Employer/Institute
4,1,2025-01-04,McDonalds,257.03,expense,Food,McDonalds
5,1,2025-01-05,Ola cab,338.2,expense,Transport,Ola cab
6,1,2025-01-05,Bus pass recharge,753.33,expense,Transport,Bus pass recharge
7,1,2025-01-06,Bus pass recharge,564.09,expense,Transport,Bus pass recharge
8,1,2025-01-06,Exam registration fee,854.22,expense,Education,Exam registration fee
9,1,2025-01-07,Myntra fashion order,1141.83,expense,Shopping,Myntra fashion order
10,1,2025-01-10,Society maintenance charge,2945.25,expense,Bills,Society maintenance charge
11,1,2025-01-11,Coursera subscription,2645.2,expense,Education,Coursera subscription
12,1,2025-01-15,IndiGo flight booking,6129.78,expense,Transport,IndiGo flight booking
13,1,2025-01-15,ACT Fibernet broadband bill,1304.72,expense,Bills,ACT Fibernet broadband bill
14,1,2025-01-16,BESCOM electricity bill,1477.59,expense,Bills,BESCOM electricity bill
15,1,2025-01-16,BESCOM electricity bill,689.45,expense,Bills,BESCOM electricity bill
16,1,2025-01-20,Starbucks Coffee,265.61,expense,Food,Starbucks Coffee
17,1,2025-01-21,Campus mess bill,1687.09,expense,Food,Campus mess bill
18,1,2025-01-25,Ajio order,2522.64,expense,Shopping,Ajio order
19,1,2025-01-27,Ajio order,1774.79,expense,Shopping,Ajio order
20,1,2025-01-27,DMart grocery shopping,1312.08,expense,Food,DMart grocery shopping
21,1,2025-01-28,Decathlon sports gear,312.81,expense,Shopping,Decathlon sports gear
22,1,2025-01-29,ACT Fibernet broadband bill,1118.25,expense,Bills,ACT Fibernet broadband bill
23,1,2025-01-31,Cafe Coffee Day,214.61,expense,Food,Cafe Coffee Day
24,1,2025-01-31,Local tiffin service,79.85,expense,Food,Local tiffin service
25,1,2025-02-01,Water bill payment,516.96,expense,Bills,Water bill payment
26,1,2025-02-01,Salary credited,33400.54,income,Income,Employer/Institute
27,1,2025-02-02,McDonalds,231.4,expense,Food,McDonalds
28,1,2025-02-05,Metro card recharge,463.03,expense,Transport,Metro card recharge
29,1,2025-02-05,Myntra fashion order,1428.97,expense,Shopping,Myntra fashion order
30,1,2025-02-06,Swiggy order - UPI,407.63,expense,Food,Swiggy order
31,1,2025-02-08,Auto fare,36.66,expense,Transport,Auto fare
32,1,2025-02-08,Amazon purchase - MG Road,2518.71,expense,Shopping,Amazon purchase
33,1,2025-02-08,Coursera subscription,2947.9,expense,Education,Coursera subscription
34,1,2025-02-10,Hostel/room rent,7698.71,expense,Bills,Hostel/room rent
35,1,2025-02-10,Starbucks Coffee,283.44,expense,Food,Starbucks Coffee
36,1,2025-02-11,DMart grocery shopping,1384.2,expense,Food,DMart grocery shopping
37,1,2025-02-12,BESCOM electricity bill,1555.66,expense,Bills,BESCOM electricity bill
38,1,2025-02-14,LPG cylinder booking,1033.0,expense,Bills,LPG cylinder booking
39,1,2025-02-14,Auto fare,81.92,expense,Transport,Auto fare
40,1,2025-02-17,ACT Fibernet broadband bill,1242.47,expense,Bills,ACT Fibernet broadband bill
41,1,2025-02-18,Doctor consultation fee,995.02,expense,Health,Doctor consultation fee
42,1,2025-02-21,Croma electronics,5400.3,expense,Shopping,Croma electronics
43,1,2025-02-22,Rapido bike taxi,144.58,expense,Transport,Rapido bike taxi
44,1,2025-02-22,Campus mess bill,1534.99,expense,Food,Campus mess bill
45,1,2025-02-22,Airtel postpaid bill,1078.38,expense,Bills,Airtel postpaid bill
46,1,2025-02-22,Family transfer received,3852.3,income,Income,Family transfer received
47,1,2025-02-24,Dr Lal PathLabs test,912.38,expense,Health,Dr Lal PathLabs test
48,1,2025-02-25,Myntra fashion order,2378.91,expense,Shopping,Myntra fashion order
49,1,2025-02-27,Spotify Premium,121.06,expense,Entertainment,Spotify Premium
50,1,2025-02-28,Chai/tea stall,31.37,expense,Food,Chai/tea stall
51,1,2025-03-01,LPG cylinder booking,921.21,expense,Bills,LPG cylinder booking
52,1,2025-03-03,Salary credited,30897.35,income,Income,Employer/Institute
53,1,2025-03-06,Health insurance premium,5587.4,expense,Health,Health insurance premium
54,1,2025-03-06,Airtel postpaid bill,952.52,expense,Bills,Airtel postpaid bill
55,1,2025-03-07,Hostel/room rent,8544.03,expense,Bills,Hostel/room rent
56,1,2025-03-08,Campus mess bill,2866.24,expense,Food,Campus mess bill
57,1,2025-03-09,Croma electronics,12230.56,expense,Shopping,Croma electronics
58,1,2025-03-09,Local tiffin service,66.47,expense,Food,Local tiffin service
59,1,2025-03-10,Udemy course purchase,637.64,expense,Education,Udemy course purchase
60,1,2025-03-13,Myntra fashion order,529.11,expense,Shopping,Myntra fashion order
61,1,2025-03-17,Auto fare,38.13,expense,Transport,Auto fare
62,1,2025-03-18,Stationery/printouts,332.6,expense,Education,Stationery/printouts
63,1,2025-03-23,Uber ride,302.41,expense,Transport,Uber ride
64,1,2025-03-24,Campus mess bill,2429.41,expense,Food,Campus mess bill
65,1,2025-03-24,Tata Play DTH recharge,393.29,expense,Bills,Tata Play DTH recharge
66,1,2025-03-25,Metro card recharge,272.78,expense,Transport,Metro card recharge
67,1,2025-03-25,Netflix subscription,586.33,expense,Entertainment,Netflix subscription
68,1,2025-03-26,IRCTC train ticket,1640.52,expense,Transport,IRCTC train ticket
69,1,2025-03-28,Ajio order,1176.88,expense,Shopping,Ajio order
70,1,2025-03-31,Stationery/printouts,394.98,expense,Education,Stationery/printouts
71,1,2025-04-04,Decathlon sports gear,2227.95,expense,Shopping,Decathlon sports gear
72,1,2025-04-04,Myntra fashion order,1185.44,expense,Shopping,Myntra fashion order
73,1,2025-04-05,Salary credited,34355.65,income,Income,Employer/Institute
74,1,2025-04-08,Netflix subscription,527.32,expense,Entertainment,Netflix subscription
75,1,2025-04-08,Parking fee,22.95,expense,Transport,Parking fee
76,1,2025-04-12,LPG cylinder booking,889.0,expense,Bills,LPG cylinder booking
77,1,2025-04-15,Campus mess bill,3080.49,expense,Food,Campus mess bill
78,1,2025-04-19,Amazon books order,713.75,expense,Education,Amazon books order
79,1,2025-04-20,Local mall shopping,3048.76,expense,Shopping,Local mall shopping
80,1,2025-04-22,Amazon purchase - monthly,3003.09,expense,Shopping,Amazon purchase
81,1,2025-04-23,Coaching institute fee,11984.19,expense,Education,Coaching institute fee
82,1,2025-04-25,Auto fare,59.09,expense,Transport,Auto fare
83,1,2025-04-25,Gift purchase,211.64,expense,Other,Gift purchase
